Experiment,Crypto,Target,Training Time (s),CPU Usage (%),Memory Usage (MB),Parameters,MSE,MAE,MAPE,RMSE,R2
arima-xmr-close-w30-h0-12m,xmr,close,4.639012813568115,2497.6,33.8203125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0005497124680493828,0.018956304965104653,0.041224697221666946,0.023445947795928037,0.6669177038790783
arima-xmr-close-w30-h0-12m,xmr,close,12.534714460372925,2499.2,45.703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0009649329321405186,0.025963979912707952,0.07836384074540437,0.031063369619867685,0.6329052079336723
arima-xrp-close-w30-h0-12m,xrp,close,4.087307691574097,2496.8,15.0,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.000455274502003915,0.016421501989176617,0.07011361924713151,0.021337162463737184,0.8274313833355778
arima-xrp-close-w30-h0-12m,xrp,close,2.3669893741607666,2496.9,-21.51953125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0001012300022520358,0.0070626395177848765,0.03743873081594606,0.01006131215359288,0.7595548401168725
arima-xrp-close-w30-h0-12m,xrp,close,2.4156641960144043,2493.4,28.75,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0007926277571787913,0.02171896304607229,0.062047102083543394,0.028153645539766094,0.8601290368958141
arima-xrp-close-w30-h0-12m,xrp,close,1.1320557594299316,2489.4,30.42578125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0006349696856042169,0.017045664043196483,0.0484427640443637,0.02519860483447877,0.7435659345109822
arima-xrp-close-w30-h0-12m,xrp,close,7.6484527587890625,2498.3,37.73046875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00023241892455915802,0.010439735014516584,0.029198912015252595,0.015245291881730504,-0.2163219353115049
arima-xrp-close-w30-h0-12m,xrp,close,3.7134222984313965,2497.5,38.015625,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00025744304669591465,0.012635114973765233,0.03448898733219787,0.0160450318384201,0.7888590506666997
arima-xrp-close-w30-h0-12m,xrp,close,8.938668966293335,2498.6,46.70703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00022315210044831772,0.011986110545875278,0.043825562389968306,0.014938276354664139,0.5773081061769229
arima-xrp-close-w30-h0-12m,xrp,close,6.214988708496094,2498.0,39.66796875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",8.513702839096056e-05,0.0068833599707050375,0.0321631379218363,0.009226972872560132,0.9144373347321827
arima-xrp-close-w30-h0-12m,xrp,close,5.306235074996948,2497.3,25.125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0003346487229219721,0.013976081572213736,0.05849498443439577,0.018293406542302944,0.6067473055447861
arima-xrp-close-w30-h0-12m,xrp,close,8.08324384689331,2498.0,32.95703125,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",8.525355978608755e-05,0.007037308981672835,0.028765137115951703,0.00923328542752186,0.7027912098589821
arima-xrp-close-w30-h0-12m,xrp,close,5.931691408157349,2496.8,271.234375,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.0001000207811493023,0.0078344686087491,0.03535122795065202,0.010001039003488702,0.8311282603029673
arima-xrp-close-w30-h0-12m,xrp,close,9.38043475151062,2498.1,100.46875,"{'p': 1, 'd': 0, 'q': 2, 'P': 2, 'Q': 0, 'D': 0, 'S': 12, 'loop': 0, 'horizon': 0, 'sliding_window': 0}",0.00013657782803372677,0.008211443012665926,0.06715570266610311,0.011686651703277836,0.8676044814990198
