round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
95,0.0013926462270319462,0.0013926462270319462,0.017767228186130524,0.0014825838152319193,0.0014825838152319193,0.018950728699564934,64,3,relu,75,64,tanh,256,200,20,adam,0.001
89,0.0014009384904056787,0.0014009384904056787,0.017758503556251526,0.0015023082960397005,0.0015023082960397005,0.019060365855693817,32,5,relu,50,32,relu,256,200,20,adam,0.001
395,0.001396150328218937,0.001396150328218937,0.017895454540848732,0.0015436329413205385,0.0015436329413205385,0.019185828045010567,32,3,relu,50,64,tanh,256,200,20,adam,0.001
79,0.0014012958854436874,0.0014012958854436874,0.017766030505299568,0.0014551315689459443,0.0014551315689459443,0.018914947286248207,32,5,relu,50,32,tanh,256,200,20,adam,0.001
99,0.0014008228899911046,0.0014008228899911046,0.01774432696402073,0.0015001450665295124,0.0015001450665295124,0.019050471484661102,32,7,relu,75,32,tanh,256,200,20,adam,1e-05
77,0.001400610781274736,0.001400610781274736,0.01786750741302967,0.0015181819908320904,0.0015181819908320904,0.018933532759547234,32,7,relu,50,32,tanh,256,200,20,adam,0.001
103,0.0013934896560385823,0.0013934896560385823,0.017906250432133675,0.0015263115055859089,0.0015263115055859089,0.01908125728368759,64,3,relu,75,16,tanh,256,200,20,adam,0.001
135,0.0013806838542222977,0.0013806838542222977,0.017703481018543243,0.001465030713006854,0.001465030713006854,0.018529869616031647,64,3,relu,50,16,tanh,256,200,20,adam,1e-05
84,0.0013947642873972654,0.0013947642873972654,0.0178782120347023,0.0015263729728758335,0.0015263729728758335,0.019112346693873405,32,7,relu,75,16,tanh,256,200,20,adam,1e-05
96,0.0013977966737002134,0.0013977966737002134,0.01793310046195984,0.0015180624322965741,0.0015180624322965741,0.01902785152196884,32,5,relu,50,32,relu,256,200,20,adam,0.0001
89,0.0014036467764526606,0.0014036467764526606,0.01783118024468422,0.0014852320309728384,0.0014852320309728384,0.019022682681679726,64,3,relu,50,16,relu,256,200,20,adam,0.0001
95,0.0013937499606981874,0.0013937499606981874,0.017941076308488846,0.0015189603436738253,0.0015189603436738253,0.0190852340310812,32,5,relu,50,64,relu,256,200,20,adam,1e-05
95,0.0014014779590070248,0.0014014779590070248,0.017890485003590584,0.0015296628698706627,0.0015296628698706627,0.019204650074243546,32,3,relu,75,32,relu,256,200,20,adam,0.0001
76,0.001416321494616568,0.001416321494616568,0.01800997368991375,0.0015923173632472754,0.0015923173632472754,0.019463051110506058,64,5,relu,50,16,relu,256,200,20,adam,0.001
103,0.001394356251694262,0.001394356251694262,0.017728080973029137,0.0014878310030326247,0.0014878310030326247,0.018949737772345543,32,3,relu,75,16,tanh,256,200,20,adam,1e-05
