round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
94,0.0020829469431191683,0.0020829469431191683,0.022296352311968803,0.0020402339287102222,0.0020402339287102222,0.024408118799328804,32,3,relu,50,64,relu,256,200,20,adam,0.001
1000,0.002002786612138152,0.002002786612138152,0.021799257025122643,0.001989531796425581,0.001989531796425581,0.024327503517270088,32,7,relu,50,32,relu,256,200,20,adam,1e-05
94,0.0020599605049937963,0.0020599605049937963,0.022150078788399696,0.001964218681678176,0.001964218681678176,0.02412732131779194,32,5,relu,75,16,tanh,256,200,20,adam,1e-05
1000,0.001989668933674693,0.001989668933674693,0.021834369748830795,0.001959107583388686,0.001959107583388686,0.024290839210152626,32,5,relu,50,64,relu,256,200,20,adam,1e-05
95,0.002076925477012992,0.002076925477012992,0.022297006100416183,0.0021007598843425512,0.0021007598843425512,0.02487587369978428,32,5,relu,75,32,relu,256,200,20,adam,0.0001
90,0.0020493229385465384,0.0020493229385465384,0.022062452509999275,0.0019307660404592752,0.0019307660404592752,0.024239040911197662,64,3,relu,75,16,tanh,256,200,20,adam,0.0001
100,0.0020589311607182026,0.0020589311607182026,0.022084269672632217,0.0019406657665967941,0.0019406657665967941,0.024114837870001793,64,3,relu,75,32,tanh,256,200,20,adam,0.001
135,0.0020615807734429836,0.0020615807734429836,0.02217099256813526,0.0019420505268499255,0.0019420505268499255,0.024240458384156227,32,3,relu,75,32,relu,256,200,20,adam,0.0001
247,0.0020595192909240723,0.0020595192909240723,0.022085322067141533,0.0019040722399950027,0.0019040722399950027,0.02408936806023121,64,5,relu,50,64,relu,256,200,20,adam,0.001
94,0.002082589315250516,0.002082589315250516,0.022312680259346962,0.002096202690154314,0.002096202690154314,0.02487385831773281,64,3,relu,75,64,tanh,256,200,20,adam,1e-05
91,0.002054666867479682,0.002054666867479682,0.022115761414170265,0.0019980447832494974,0.0019980447832494974,0.02433941513299942,64,3,relu,50,32,tanh,256,200,20,adam,1e-05
111,0.0020624815952032804,0.0020624815952032804,0.022082006558775902,0.0019674685318022966,0.0019674685318022966,0.024217041209340096,32,5,relu,50,64,relu,256,200,20,adam,0.0001
97,0.002063360996544361,0.002063360996544361,0.02209540829062462,0.0019516610773280263,0.0019516610773280263,0.024092722684144974,64,5,relu,50,16,tanh,256,200,20,adam,0.001
