round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
131,0.0033931771758943796,0.0033931771758943796,0.027568269520998,0.0020744758658111095,0.0020744758658111095,0.0255283173173666,64,7,relu,75,64,tanh,256,200,20,adam,0.001
332,0.0034008920192718506,0.0034008920192718506,0.027575815096497536,0.0020726716611534357,0.0020726716611534357,0.02552291564643383,32,3,relu,50,16,tanh,256,200,20,adam,0.001
98,0.0033679648768156767,0.0033679648768156767,0.027436483651399612,0.002077588113024831,0.002077588113024831,0.02549700438976288,64,5,relu,75,16,tanh,256,200,20,adam,0.0001
82,0.003371011931449175,0.003371011931449175,0.02744082175195217,0.002124110469594598,0.002124110469594598,0.025724271312355995,64,3,relu,75,64,relu,256,200,20,adam,0.001
105,0.0033879599068313837,0.0033879599068313837,0.027521727606654167,0.0021202093921601772,0.0021202093921601772,0.02567651867866516,64,5,relu,75,64,relu,256,200,20,adam,1e-05
90,0.003366598393768072,0.003366598393768072,0.027419438585639,0.0020604943856596947,0.0020604943856596947,0.025399597361683846,64,5,relu,75,32,tanh,256,200,20,adam,1e-05
110,0.0033827489241957664,0.0033827489241957664,0.027581458911299706,0.002108320128172636,0.002108320128172636,0.025531360879540443,64,5,relu,50,64,tanh,256,200,20,adam,0.0001
84,0.0033886167220771313,0.0033886167220771313,0.02750328555703163,0.0020725615322589874,0.0020725615322589874,0.025502121075987816,32,3,relu,50,32,relu,256,200,20,adam,0.001
89,0.003367769066244364,0.003367769066244364,0.027463197708129883,0.0021048118360340595,0.0021048118360340595,0.025546493008732796,32,5,relu,75,32,relu,256,200,20,adam,0.0001
80,0.0034121486824005842,0.0034121486824005842,0.027723653241991997,0.0020603907760232687,0.0020603907760232687,0.025531688705086708,64,5,relu,75,64,relu,256,200,20,adam,0.001
89,0.0033689001575112343,0.0033689001575112343,0.02739124372601509,0.00207300903275609,0.00207300903275609,0.025495799258351326,32,5,relu,75,32,relu,256,200,20,adam,0.001
103,0.003319636918604374,0.003319636918604374,0.02728191390633583,0.002092022681608796,0.002092022681608796,0.02540430799126625,32,5,relu,75,32,tanh,256,200,20,adam,0.0001
111,0.003331781132146716,0.003331781132146716,0.02727089822292328,0.0020688974764198065,0.0020688974764198065,0.025316398590803146,64,5,relu,50,16,relu,256,200,20,adam,1e-05
107,0.0033577794674783945,0.0033577794674783945,0.027438756078481674,0.0020730160176753998,0.0020730160176753998,0.025507764890789986,32,5,relu,50,32,tanh,256,200,20,adam,1e-05
78,0.0034113337751477957,0.0034113337751477957,0.027588296681642532,0.0020717328879982233,0.0020717328879982233,0.025526927784085274,64,3,relu,75,16,tanh,256,200,20,adam,0.001
293,0.0033613548148423433,0.0033613548148423433,0.027336163446307182,0.0020838903728872538,0.0020838903728872538,0.02564498968422413,32,3,relu,75,64,relu,256,200,20,adam,0.0001
130,0.0033809966407716274,0.0033809966407716274,0.0275165606290102,0.0021448321640491486,0.0021448321640491486,0.02561369352042675,32,3,relu,50,16,relu,256,200,20,adam,0.0001
152,0.0033918346744030714,0.0033918346744030714,0.027484534308314323,0.0020800791680812836,0.0020800791680812836,0.025535421445965767,64,3,relu,50,64,relu,256,200,20,adam,0.001
320,0.003332529915496707,0.003332529915496707,0.027345329523086548,0.002129926811903715,0.002129926811903715,0.025564493611454964,64,3,relu,50,64,tanh,256,200,20,adam,0.0001
93,0.0033554795663803816,0.0033554795663803816,0.02736845053732395,0.002063352381810546,0.002063352381810546,0.025352299213409424,32,7,relu,50,64,tanh,256,200,20,adam,0.001
126,0.0033691085409373045,0.0033691085409373045,0.027454206719994545,0.002098384080454707,0.002098384080454707,0.02548801898956299,32,7,relu,50,32,relu,256,200,20,adam,0.0001
116,0.003321825759485364,0.003321825759485364,0.02726619690656662,0.0020462283864617348,0.0020462283864617348,0.025144297629594803,32,7,relu,50,32,tanh,256,200,20,adam,1e-05
99,0.0033635301515460014,0.0033635301515460014,0.027426650747656822,0.0020791711285710335,0.0020791711285710335,0.025540044531226158,64,5,relu,75,32,tanh,256,200,20,adam,0.001
105,0.0033638780005276203,0.0033638780005276203,0.027356833219528198,0.0020960611291229725,0.0020960611291229725,0.025422465056180954,64,3,relu,75,16,relu,256,200,20,adam,0.0001
191,0.0033759293146431446,0.0033759293146431446,0.027632832527160645,0.0021221626084297895,0.0021221626084297895,0.02566141076385975,32,7,relu,75,32,tanh,256,200,20,adam,0.0001
109,0.003397015854716301,0.003397015854716301,0.02758217789232731,0.0020996425300836563,0.0020996425300836563,0.025634389370679855,32,5,relu,50,32,relu,256,200,20,adam,1e-05
85,0.003479051636531949,0.003479051636531949,0.02806725911796093,0.0020626592449843884,0.0020626592449843884,0.025997353717684746,32,5,relu,75,16,tanh,256,200,20,adam,0.0001
