round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
182,0.001433617202565074,0.001433617202565074,0.017888344824314117,0.0013475831365212798,0.0013475831365212798,0.018958033993840218,50,relu,16,relu,256,200,20,nadam,0.0001
98,0.001422450877726078,0.001422450877726078,0.01782751828432083,0.0013621312100440264,0.0013621312100440264,0.01896400935947895,50,relu,100,relu,256,200,20,adam,0.001
122,0.0014330418780446053,0.0014330418780446053,0.01788790337741375,0.0013614215422421694,0.0013614215422421694,0.01900179497897625,50,relu,32,relu,256,200,20,nadam,1e-05
123,0.0014406173722818494,0.0014406173722818494,0.01797129586338997,0.0013296009274199605,0.0013296009274199605,0.0189459640532732,50,relu,64,relu,256,200,20,nadam,0.001
128,0.001443323097191751,0.001443323097191751,0.017985723912715912,0.0013251644559204578,0.0013251644559204578,0.018922457471489906,100,relu,100,relu,256,200,20,rmsprop,0.001
112,0.001424234826117754,0.001424234826117754,0.017862781882286072,0.0013494313461706042,0.0013494313461706042,0.01888764277100563,100,relu,64,relu,256,200,20,rmsprop,0.0001
142,0.00143589882645756,0.00143589882645756,0.01795889437198639,0.00133652298245579,0.00133652298245579,0.01897815801203251,50,relu,100,relu,256,200,20,nadam,1e-05
125,0.0014688909286633134,0.0014688909286633134,0.01817617565393448,0.001346434117294848,0.001346434117294848,0.01921004429459572,50,relu,16,relu,256,200,20,rmsprop,1e-05
114,0.0014418214559555054,0.0014418214559555054,0.01796659640967846,0.001343265874311328,0.001343265874311328,0.018991515040397644,75,relu,64,relu,256,200,20,adam,1e-05
106,0.0014496662188321352,0.0014496662188321352,0.018029652535915375,0.0013526068069040775,0.0013526068069040775,0.01905188523232937,50,relu,64,relu,256,200,20,adam,0.0001
131,0.0014554219087585807,0.0014554219087585807,0.018075546249747276,0.0013283005682751536,0.0013283005682751536,0.0190232265740633,75,relu,100,relu,256,200,20,adam,1e-05
