,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_feed_forward,params_hidden_layer_dim,params_input_chunk_length,params_lr,params_num_attention_heads,params_num_lstm_layers,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
71,71,0.012166696600615978,2024-08-06 22:14:22.974097,2024-08-06 22:22:40.436228,0 days 00:08:17.462131,256,0.05,1000,Bilinear,64,30,0.001,3,4,adam,1,71,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
72,72,0.012133169919252396,2024-08-06 22:22:40.437079,2024-08-06 22:28:18.059883,0 days 00:05:37.622804,256,0.05,1000,GELU,128,30,0.0001,5,4,adam,1,72,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
73,73,0.012168703600764275,2024-08-06 22:28:18.060713,2024-08-06 22:35:20.866943,0 days 00:07:02.806230,256,0.1,1000,GLU,32,30,0.001,2,2,adam,1,73,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
74,74,0.012181032449007034,2024-08-06 22:35:20.867758,2024-08-06 22:40:43.701408,0 days 00:05:22.833650,256,0.05,1000,GELU,128,30,0.0001,7,4,adam,1,74,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
75,75,0.01215243898332119,2024-08-06 22:40:43.702211,2024-08-06 22:42:20.762333,0 days 00:01:37.060122,256,0.05,1000,SwiGLU,64,30,0.001,7,2,adam,1,75,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
76,76,0.01215191837400198,2024-08-06 22:42:20.763124,2024-08-06 22:47:27.517294,0 days 00:05:06.754170,256,0.05,1000,GELU,64,30,1e-05,7,4,adam,1,76,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
77,77,0.012310010381042957,2024-08-06 22:47:27.518097,2024-08-06 22:54:21.112630,0 days 00:06:53.594533,256,0.0,1000,Bilinear,64,30,1e-05,3,4,adam,1,77,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
78,78,0.01213204674422741,2024-08-06 22:54:21.113468,2024-08-06 23:01:22.475985,0 days 00:07:01.362517,256,0.05,1000,GLU,128,30,0.001,3,4,adam,1,78,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
79,79,0.012062076479196548,2024-08-06 23:01:22.476804,2024-08-06 23:06:19.643594,0 days 00:04:57.166790,256,0.1,1000,GEGLU,64,30,1e-05,3,3,adam,1,79,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
80,80,0.012224122881889343,2024-08-06 23:06:19.644412,2024-08-06 23:09:58.052953,0 days 00:03:38.408541,256,0.1,1000,SwiGLU,128,30,0.001,5,3,adam,1,80,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
81,81,0.012261317111551762,2024-08-06 23:09:58.053775,2024-08-06 23:20:59.607392,0 days 00:11:01.553617,256,0.1,1000,ReGLU,64,30,0.001,7,4,adam,1,81,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
82,82,0.012298141606152058,2024-08-06 23:20:59.608241,2024-08-06 23:22:50.801433,0 days 00:01:51.193192,256,0.0,1000,ReGLU,32,30,0.001,2,4,adam,1,82,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
83,83,0.012179289013147354,2024-08-06 23:22:50.802257,2024-08-06 23:24:56.629789,0 days 00:02:05.827532,256,0.1,1000,GEGLU,32,30,0.001,3,4,adam,1,83,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
84,84,0.012091088108718395,2024-08-06 23:24:56.630597,2024-08-06 23:33:41.198840,0 days 00:08:44.568243,256,0.0,1000,ReGLU,128,30,0.001,5,4,adam,1,84,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
85,85,0.012225653976202011,2024-08-06 23:33:41.199689,2024-08-06 23:41:26.274169,0 days 00:07:45.074480,256,0.05,1000,Bilinear,32,30,1e-05,5,2,adam,1,85,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
86,86,0.012157580815255642,2024-08-06 23:41:26.274995,2024-08-06 23:44:00.370347,0 days 00:02:34.095352,256,0.1,1000,GEGLU,64,30,1e-05,3,5,adam,1,86,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
87,87,0.01218691561371088,2024-08-06 23:44:00.371176,2024-08-06 23:46:35.110634,0 days 00:02:34.739458,256,0.0,1000,SwiGLU,64,30,0.001,7,5,adam,1,87,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
88,88,0.012016763910651207,2024-08-06 23:46:35.111458,2024-08-06 23:48:44.322822,0 days 00:02:09.211364,256,0.05,1000,GELU,64,30,0.0001,3,4,adam,1,88,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
89,89,0.0124363349750638,2024-08-06 23:48:44.323648,2024-08-06 23:58:54.238794,0 days 00:10:09.915146,256,0.05,1000,GEGLU,64,30,0.0001,5,4,adam,1,89,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
90,90,0.012393347918987274,2024-08-06 23:58:54.239610,2024-08-07 00:06:28.896087,0 days 00:07:34.656477,256,0.0,1000,GatedResidualNetwork,64,30,0.0001,5,3,adam,1,90,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
91,91,0.012196043506264687,2024-08-07 00:06:28.896914,2024-08-07 00:12:17.700127,0 days 00:05:48.803213,256,0.0,1000,SwiGLU,64,30,1e-05,5,5,adam,1,91,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
92,92,0.01221544574946165,2024-08-07 00:12:17.700947,2024-08-07 00:15:14.422213,0 days 00:02:56.721266,256,0.05,1000,GELU,128,30,0.001,3,4,adam,1,92,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
93,93,0.012078977189958096,2024-08-07 00:15:14.422980,2024-08-07 00:25:08.866576,0 days 00:09:54.443596,256,0.1,1000,GatedResidualNetwork,128,30,0.0001,2,4,adam,1,93,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
94,94,0.012211819179356098,2024-08-07 00:25:08.867380,2024-08-07 00:28:17.208445,0 days 00:03:08.341065,256,0.05,1000,SwiGLU,128,30,0.001,2,4,adam,1,94,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
95,95,0.012072484008967876,2024-08-07 00:28:17.209279,2024-08-07 00:31:21.080106,0 days 00:03:03.870827,256,0.05,1000,GatedResidualNetwork,32,30,0.0001,5,5,adam,1,95,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
96,96,0.01215466670691967,2024-08-07 00:31:21.080957,2024-08-07 00:33:01.973135,0 days 00:01:40.892178,256,0.0,1000,GEGLU,64,30,0.001,7,3,adam,1,96,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
97,97,0.012232767418026924,2024-08-07 00:33:01.973942,2024-08-07 00:35:13.555457,0 days 00:02:11.581515,256,0.05,1000,ReGLU,128,30,0.001,5,5,adam,1,97,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
98,98,0.01215982437133789,2024-08-07 00:35:13.556245,2024-08-07 00:44:38.532670,0 days 00:09:24.976425,256,0.05,1000,GatedResidualNetwork,64,30,0.0001,7,5,adam,1,98,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
99,99,0.012118056416511536,2024-08-07 00:44:38.533502,2024-08-07 00:49:06.366300,0 days 00:04:27.832798,256,0.1,1000,ReLU,128,30,1e-05,2,2,adam,1,99,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
