,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_feed_forward,params_hidden_layer_dim,params_input_chunk_length,params_lr,params_num_attention_heads,params_num_lstm_layers,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
22,22,0.012111937627196312,2024-08-06 18:26:23.937599,2024-08-06 18:27:45.342042,0 days 00:01:21.404443,256,0.0,1000,GELU,64,30,1e-05,2,5,adam,1,22,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
23,23,0.01215982437133789,2024-08-06 18:27:45.342861,2024-08-06 18:34:13.328475,0 days 00:06:27.985614,256,0.05,1000,GatedResidualNetwork,64,30,1e-05,7,5,adam,1,23,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
24,24,0.012072484008967876,2024-08-06 18:34:13.329270,2024-08-06 18:35:54.336776,0 days 00:01:41.007506,256,0.05,1000,GatedResidualNetwork,32,30,1e-05,5,5,adam,1,24,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
25,25,0.012379837222397327,2024-08-06 18:35:54.337595,2024-08-06 18:39:56.631607,0 days 00:04:02.294012,256,0.0,1000,SwiGLU,32,30,1e-05,5,2,adam,1,25,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
26,26,0.012082008644938469,2024-08-06 18:39:56.632456,2024-08-06 18:42:49.650911,0 days 00:02:53.018455,256,0.05,1000,GatedResidualNetwork,128,30,0.0001,2,3,adam,1,26,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
27,27,0.012764779850840569,2024-08-06 18:42:49.651724,2024-08-06 18:50:33.007154,0 days 00:07:43.355430,256,0.1,1000,GatedResidualNetwork,64,30,0.001,7,2,adam,1,27,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
28,28,0.012138545513153076,2024-08-06 18:50:33.007959,2024-08-06 18:52:40.406061,0 days 00:02:07.398102,256,0.0,1000,SwiGLU,32,30,0.001,7,3,adam,1,28,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
29,29,0.012274581007659435,2024-08-06 18:52:40.406885,2024-08-06 18:55:15.257821,0 days 00:02:34.850936,256,0.1,1000,GEGLU,64,30,0.001,3,4,adam,1,29,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
30,30,0.012111811898648739,2024-08-06 18:55:15.258646,2024-08-06 19:00:37.398846,0 days 00:05:22.140200,256,0.05,1000,Bilinear,128,30,0.0001,5,2,adam,1,30,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
31,31,0.012286428362131119,2024-08-06 19:00:37.399659,2024-08-06 19:03:26.777697,0 days 00:02:49.378038,256,0.0,1000,GatedResidualNetwork,64,30,0.001,7,5,adam,1,31,"{'batch_size': [256], 'dropout_rate': [0.0, 0.05, 0.1], 'epochs': [1000], 'feed_forward': ['GLU', 'Bilinear', 'ReGLU', 'GEGLU', 'SwiGLU', 'ReLU', 'GELU', 'GatedResidualNetwork'], 'hidden_layer_dim': [32, 64, 128], 'input_chunk_length': [30], 'lr': [0.001, 0.0001, 1e-05], 'num_attention_heads': [2, 3, 5, 7], 'num_lstm_layers': [2, 3, 4, 5], 'optimizer': ['adam'], 'output_chunk_length': [1]}",COMPLETE
