round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_gru_dim,gru_activation,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
116,0.0030330016743391752,0.0030330016743391752,0.027377933263778687,0.0034791016951203346,0.0034791016951203346,0.0270097479224205,100,relu,32,relu,256,200,20,nadam,1e-05
802,0.002962821861729026,0.002962821861729026,0.027006004005670547,0.003401590045541525,0.003401590045541525,0.026420777663588524,75,relu,16,relu,256,200,20,adam,1e-05
606,0.0029930563177913427,0.0029930563177913427,0.02711104042828083,0.003397322027012706,0.003397322027012706,0.02648308128118515,100,relu,100,relu,256,200,20,adam,1e-05
496,0.0029956172220408916,0.0029956172220408916,0.027137041091918945,0.0033904574811458588,0.0033904574811458588,0.026469554752111435,75,relu,100,relu,256,200,20,adam,1e-05
832,0.0029845742974430323,0.0029845742974430323,0.027136055752635002,0.0034457191359251738,0.0034457191359251738,0.026588713750243187,100,relu,64,relu,256,200,20,rmsprop,1e-05
151,0.0029975278303027153,0.0029975278303027153,0.027063807472586632,0.003402430796995759,0.003402430796995759,0.02649681456387043,75,relu,100,relu,256,200,20,rmsprop,1e-05
111,0.003008458996191621,0.003008458996191621,0.027209850028157234,0.0033840215764939785,0.0033840215764939785,0.026616033166646957,50,relu,100,relu,256,200,20,nadam,0.0001
892,0.002978690667077899,0.002978690667077899,0.027053067460656166,0.003395208390429616,0.003395208390429616,0.02642735280096531,100,relu,64,relu,256,200,20,adam,0.0001
755,0.0029635699465870857,0.0029635699465870857,0.026995616033673286,0.0034335560631006956,0.0034335560631006956,0.02657577209174633,50,relu,100,relu,256,200,20,nadam,0.001
979,0.002981571014970541,0.002981571014970541,0.027107415720820427,0.0034248102456331253,0.0034248102456331253,0.02653421275317669,50,relu,64,relu,256,200,20,rmsprop,0.001
767,0.0029682538006454706,0.0029682538006454706,0.027032583951950073,0.0033945224713534117,0.0033945224713534117,0.026531169191002846,50,relu,64,relu,256,200,20,rmsprop,1e-05
95,0.0030263911467045546,0.0030263911467045546,0.02740754559636116,0.0034606694243848324,0.0034606694243848324,0.026946041733026505,50,relu,32,relu,256,200,20,rmsprop,0.0001
1000,0.0029908446595072746,0.0029908446595072746,0.02715800702571869,0.0034445205237716436,0.0034445205237716436,0.026510264724493027,100,relu,16,relu,256,200,20,rmsprop,1e-05
1000,0.00296535762026906,0.00296535762026906,0.02695075049996376,0.003401875728741288,0.003401875728741288,0.026431452482938766,50,relu,100,relu,256,200,20,adam,0.0001
673,0.002966200700029731,0.002966200700029731,0.027012083679437637,0.0034140078350901604,0.0034140078350901604,0.026582801714539528,50,relu,100,relu,256,200,20,adam,0.001
132,0.002997030271217227,0.002997030271217227,0.027000075206160545,0.003347966121509671,0.003347966121509671,0.026258844882249832,75,relu,100,relu,256,200,20,rmsprop,0.0001
264,0.003010770073160529,0.003010770073160529,0.02721104398369789,0.0034348974004387856,0.0034348974004387856,0.026673607528209686,75,relu,64,relu,256,200,20,nadam,0.001
129,0.003018178278580308,0.003018178278580308,0.02722087875008583,0.0033890921622514725,0.0033890921622514725,0.026573142036795616,50,relu,100,relu,256,200,20,rmsprop,0.0001
307,0.0030056689865887165,0.0030056689865887165,0.0272371768951416,0.003474325640127063,0.003474325640127063,0.02680320292711258,100,relu,64,relu,256,200,20,rmsprop,0.0001
135,0.0030056126415729523,0.0030056126415729523,0.027137337252497673,0.0034129531122744083,0.0034129531122744083,0.026652688160538673,50,relu,64,relu,256,200,20,adam,0.001
683,0.002980448305606842,0.002980448305606842,0.0270316731184721,0.0033894870430231094,0.0033894870430231094,0.02650994434952736,100,relu,32,relu,256,200,20,rmsprop,0.001
686,0.002984891412779689,0.002984891412779689,0.02702588215470314,0.003388815326616168,0.003388815326616168,0.026535838842391968,75,relu,16,relu,256,200,20,rmsprop,1e-05
826,0.0030140290036797523,0.0030140290036797523,0.02720038779079914,0.0034287499729543924,0.0034287499729543924,0.026667149737477303,50,relu,32,relu,256,200,20,adam,1e-05
863,0.0029831579886376858,0.0029831579886376858,0.027079248800873756,0.003418294247239828,0.003418294247239828,0.026546737179160118,75,relu,64,relu,256,200,20,rmsprop,0.001
480,0.00299499137327075,0.00299499137327075,0.02705773338675499,0.0033708931878209114,0.0033708931878209114,0.026357701048254967,100,relu,64,relu,256,200,20,rmsprop,0.001
100,0.003039128612726927,0.003039128612726927,0.027506569400429726,0.003468230366706848,0.003468230366706848,0.027102619409561157,100,relu,100,relu,256,200,20,nadam,1e-05
626,0.0030052491929382086,0.0030052491929382086,0.027195405215024948,0.0034138858318328857,0.0034138858318328857,0.02653903141617775,50,relu,16,relu,256,200,20,rmsprop,1e-05
586,0.002977266674861312,0.002977266674861312,0.027085907757282257,0.0034243776462972164,0.0034243776462972164,0.02661305107176304,75,relu,32,relu,256,200,20,nadam,1e-05
1000,0.003017507027834654,0.003017507027834654,0.027236562222242355,0.0034094853326678276,0.0034094853326678276,0.02652406506240368,50,relu,100,relu,256,200,20,rmsprop,1e-05
181,0.0030037695541977882,0.0030037695541977882,0.027154771611094475,0.003396149491891265,0.003396149491891265,0.026559559628367424,50,relu,16,relu,256,200,20,adam,0.001
