round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
376,0.0015483484603464603,0.0015483484603464603,0.025275440886616707,0.0013198568485677242,0.0013198568485677242,0.019824039191007614,64,16,relu,4,0.0,32,relu,256,1000,50,adam,0.001
553,0.0016075951280072331,0.0016075951280072331,0.025656268000602722,0.0012176441960036755,0.0012176441960036755,0.01958215981721878,16,8,relu,1,0.05,32,relu,256,1000,50,adam,0.001
438,0.001665684161707759,0.001665684161707759,0.02559879794716835,0.0013044270453974605,0.0013044270453974605,0.01936683990061283,64,8,relu,1,0.1,32,relu,256,1000,50,adam,0.001
392,0.0017543723806738853,0.0017543723806738853,0.026455575600266457,0.0013300263090059161,0.0013300263090059161,0.019905947148799896,16,4,relu,4,0.0,64,relu,256,1000,50,adam,0.001
275,0.0019188642036169767,0.0019188642036169767,0.028377613052725792,0.0013615116477012634,0.0013615116477012634,0.020402178168296814,64,16,relu,8,0.05,32,relu,256,1000,50,adam,0.001
111,0.00250080693513155,0.00250080693513155,0.0342722162604332,0.0013641056139022112,0.0013641056139022112,0.020556539297103882,16,4,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
550,0.001577327842824161,0.001577327842824161,0.02587159350514412,0.0012898303102701902,0.0012898303102701902,0.020547065883874893,64,16,relu,8,0.0,32,relu,256,1000,50,adam,0.001
117,0.0026954151690006256,0.0026954151690006256,0.03655283525586128,0.001346246455796063,0.001346246455796063,0.019451869651675224,64,8,relu,1,0.05,32,relu,256,1000,50,adam,0.0001
69,0.003778096754103899,0.003778096754103899,0.044945210218429565,0.0013208275195211172,0.0013208275195211172,0.019308537244796753,32,16,relu,1,0.0,64,relu,256,1000,50,adam,0.001
595,0.0014136844547465444,0.0014136844547465444,0.023503612726926804,0.0012280745431780815,0.0012280745431780815,0.02000662498176098,32,8,relu,4,0.0,32,relu,256,1000,50,adam,1e-05
371,0.0015542024048045278,0.0015542024048045278,0.02505807764828205,0.0013437706511467695,0.0013437706511467695,0.02152736857533455,32,4,relu,8,0.0,32,relu,256,1000,50,adam,0.001
63,0.0037831151857972145,0.0037831151857972145,0.04486464709043503,0.0014400843065232038,0.0014400843065232038,0.0210895873606205,64,8,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
198,0.002356970915570855,0.002356970915570855,0.03185037896037102,0.0013171876780688763,0.0013171876780688763,0.019511086866259575,32,8,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
260,0.001806780812330544,0.001806780812330544,0.02747500315308571,0.0012895038817077875,0.0012895038817077875,0.019770266488194466,32,16,relu,4,0.1,32,relu,256,1000,50,adam,0.001
143,0.0024378448724746704,0.0024378448724746704,0.033002808690071106,0.0013450689148157835,0.0013450689148157835,0.020829638466238976,64,4,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
133,0.0024304804392158985,0.0024304804392158985,0.03333871439099312,0.0013592018513008952,0.0013592018513008952,0.019719738513231277,16,16,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
614,0.0015756397042423487,0.0015756397042423487,0.02387187071144581,0.0012645135866478086,0.0012645135866478086,0.019559744745492935,64,8,relu,8,0.05,32,relu,256,1000,50,adam,0.0001
385,0.0017645491752773523,0.0017645491752773523,0.02713838219642639,0.0012859322596341372,0.0012859322596341372,0.019604193046689034,32,4,relu,4,0.0,32,relu,256,1000,50,adam,0.0001
72,0.002734606619924307,0.002734606619924307,0.03716617822647095,0.001383274095132947,0.001383274095132947,0.019560793414711952,16,4,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
262,0.0020294510759413242,0.0020294510759413242,0.029480505734682083,0.0013355569681152701,0.0013355569681152701,0.019290994852781296,64,4,relu,8,0.0,64,relu,256,1000,50,adam,0.0001
65,0.0035246526822447777,0.0035246526822447777,0.04303060844540596,0.0013890463160350919,0.0013890463160350919,0.020132675766944885,16,16,relu,8,0.1,64,relu,256,1000,50,adam,0.001
107,0.0025653503835201263,0.0025653503835201263,0.03470408543944359,0.0013446062803268433,0.0013446062803268433,0.019422508776187897,64,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
