round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,patience,optimizer,lr
159,0.003073109081014991,0.003073109081014991,0.03946352005004883,0.0027442846912890673,0.0027442846912890673,0.025000011548399925,16,8,relu,1,0.05,64,relu,256,1000,50,adam,0.0001
65,0.006150731351226568,0.006150731351226568,0.060617122799158096,0.0028914890717715025,0.0028914890717715025,0.028407156467437744,16,4,relu,4,0.05,64,relu,256,1000,50,adam,1e-05
139,0.0035099692177027464,0.0035099692177027464,0.04197134077548981,0.0027868126053363085,0.0027868126053363085,0.02513589896261692,64,4,relu,4,0.05,64,relu,256,1000,50,adam,0.001
425,0.0021624527871608734,0.0021624527871608734,0.03221138194203377,0.0027013816870748997,0.0027013816870748997,0.02485588937997818,64,16,relu,1,0.0,64,relu,256,1000,50,adam,1e-05
60,0.005726277828216553,0.005726277828216553,0.05627919360995293,0.0036256553139537573,0.0036256553139537573,0.04082772508263588,32,8,relu,8,0.1,64,relu,256,1000,50,adam,0.0001
289,0.002422210294753313,0.002422210294753313,0.035817984491586685,0.002629858674481511,0.002629858674481511,0.02486272342503071,32,16,relu,4,0.0,64,relu,256,1000,50,adam,0.0001
94,0.0034560540225356817,0.0034560540225356817,0.04181255027651787,0.002765931189060211,0.002765931189060211,0.024800116196274757,16,8,relu,8,0.0,32,relu,256,1000,50,adam,0.001
189,0.0032976798247545958,0.0032976798247545958,0.04074827581644058,0.0027846735902130604,0.0027846735902130604,0.025254258885979652,64,4,relu,4,0.1,64,relu,256,1000,50,adam,0.0001
310,0.002217455767095089,0.002217455767095089,0.0326988622546196,0.002749570645391941,0.002749570645391941,0.025571245700120926,32,16,relu,4,0.0,64,relu,256,1000,50,adam,1e-05
386,0.002125090453773737,0.002125090453773737,0.03177950158715248,0.002642866922542453,0.002642866922542453,0.023861944675445557,64,16,relu,8,0.1,32,relu,256,1000,50,adam,0.0001
406,0.0018912821542471647,0.0018912821542471647,0.03073858469724655,0.0026649264618754387,0.0026649264618754387,0.024287434294819832,32,4,relu,8,0.1,64,relu,256,1000,50,adam,1e-05
73,0.004667737055569887,0.004667737055569887,0.05171877518296242,0.002898146864026785,0.002898146864026785,0.028560783714056015,64,4,relu,4,0.05,64,relu,256,1000,50,adam,0.0001
437,0.002127408981323242,0.002127408981323242,0.032034553587436676,0.00271498947404325,0.00271498947404325,0.025425126776099205,32,16,relu,4,0.05,32,relu,256,1000,50,adam,0.0001
139,0.0032132959458976984,0.0032132959458976984,0.040091633796691895,0.0027757619973272085,0.0027757619973272085,0.024860622361302376,64,16,relu,8,0.0,64,relu,256,1000,50,adam,0.0001
164,0.002858999650925398,0.002858999650925398,0.03682999312877655,0.002721184864640236,0.002721184864640236,0.02522861585021019,16,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
489,0.00175468809902668,0.00175468809902668,0.029142150655388832,0.0026447754353284836,0.0026447754353284836,0.02455154061317444,32,16,relu,4,0.0,64,relu,256,1000,50,adam,0.001
80,0.004030270967632532,0.004030270967632532,0.047324202954769135,0.002810903824865818,0.002810903824865818,0.025386890396475792,64,16,relu,8,0.1,64,relu,256,1000,50,adam,0.001
497,0.00188240606803447,0.00188240606803447,0.029767977073788643,0.0026405875105410814,0.0026405875105410814,0.023970013484358788,32,4,relu,8,0.0,32,relu,256,1000,50,adam,0.001
694,0.0018661009380593896,0.0018661009380593896,0.030013037845492363,0.002619626931846142,0.002619626931846142,0.024816473945975304,32,16,relu,1,0.05,64,relu,256,1000,50,adam,0.001
398,0.002012251876294613,0.002012251876294613,0.031397681683301926,0.0027227161917835474,0.0027227161917835474,0.02536257542669773,64,8,relu,4,0.05,32,relu,256,1000,50,adam,1e-05
59,0.005643093027174473,0.005643093027174473,0.056642863899469376,0.0030826262664049864,0.0030826262664049864,0.031918447464704514,64,4,relu,1,0.0,32,relu,256,1000,50,adam,0.001
70,0.004706892184913158,0.004706892184913158,0.051135338842868805,0.0028515260200947523,0.0028515260200947523,0.025278735905885696,64,8,relu,4,0.0,64,relu,256,1000,50,adam,0.001
675,0.0020918631926178932,0.0020918631926178932,0.03181175887584686,0.0026222956366837025,0.0026222956366837025,0.02394777163863182,32,4,relu,8,0.05,32,relu,256,1000,50,adam,0.001
65,0.004975550342351198,0.004975550342351198,0.05294785648584366,0.0029053387697786093,0.0029053387697786093,0.028969908133149147,32,16,relu,1,0.0,32,relu,256,1000,50,adam,0.001
